tarih,icerik,orijinal_url
2023-01-20,"[Tarih: 2023-01-20] Erasmus+ Genlik Deiimi Program pek Yolu'nun lk Uluslararas Projesi ""Better Together"" 8 gn 6 lke 60 Gen pek Yolu Uluslararas ocuk ve Genlik almalar Merkezi Erasmus+ Youth Exchange Program The First International Project of the pek Yolu ""Better Together"" 8 days 6 Countries 60 Young pek Yolu International Child and Youth Works Center",https://www.instagram.com/p/CnpHv_QB0Il/
2023-12-04,[Tarih: 2023-12-04] Kuluka merkezimizle hayallerinize bir adm daha yaknsnz,https://www.instagram.com/p/C0cHyeSIpbF/
2023-06-09,[Tarih: 2023-06-09] Bir uluslararas proje daha baaryla tamamland Erasmus + projesiyle 5 lkeden 40 gen pek Yolu Uluslararas ocuk ve Genlik almalar Merkezi'nde bulutu . Yine yeniden pek Yolunda bulualm,https://www.instagram.com/p/CtQ6iaPor_a/
2025-11-08,"[Tarih: 2025-11-08] Elazda teknoloji dolu bir renme serisi balyor! i birliiyle 5 zel eitimi genlerle buluturuyoruz. Teknolojiye ilgi duyuyor, yeteneklerini gelitirmek istiyor veya kariyerine gl bir adm atmak istiyorsan bu eitimler tam sana gre. retken Yapay Zek Aralar Eitimi nsansz Hava Aralar Kullanm Atlyesi ROS2 ile AMR (Otonom Mobil Robot) Gelitirme Atlyesi Python ile Uygulama Gelitirme Atlyesi Elektronik Gelitirme Kart ile IoT Eitimi balyor! Eitimlerimiz CRETSZ Son Bavuru: 23 Kasm 2025 Bavuru ve detay: btkakademi.gov.trde",https://www.instagram.com/p/DQzlg1tjU92/
2025-10-25,"[Tarih: 2025-10-25] niversite rencilerine zel 3D Tasarm ve Yazc Eitimi Balad! Bu eitimde 3 boyutlu tasarmn temellerini reniyor, kendi modellerimizi oluturuyor ve 3D yazclarla retim srecini uygulamal olarak deneyimliyoruz. Teori ve pratii birletiren bu eitim, fikirlerini geree dntrmek isteyenler iin nemli bir balang sunuyor.",https://www.instagram.com/p/DQPF8nyDAS6/
2025-10-21,"[Tarih: 2025-10-21] niversite rencileri iin 3 Boyutlu Tasarm ve Yazc Kullanm Eitimi! 3D yazc prensipleri, modelleme, bask malzemeleri ve daha fazlasn uzman eitmenlerden renme frsat! Eitim Yeri: pek Yolu Uluslararas ocuk ve Genlik almalar Merkezi / Elaz Eitim Tarihi: 25 26 Ekim 2025 Saatler: 10:00 17:00 Son Bavuru Tarihi: 24 Ekim 2025 Saat 12:00 Detaylar ve Kayt: Profildeki linkten ulaabilirsiniz.",https://www.instagram.com/p/DQECrVUjKpM/
2025-10-19,"[Tarih: 2025-10-19] pek Yolu Uluslararas ocuk ve Genlik almalar Merkezi lim Yayma Vakf Mtevelli Heyeti Bakan Sayn Necmettin Bilal ERDOAN nclnde, Elaz Valimiz Sayn Numan HATPOLU ve AK Parti Trk Devletleri ile likilerden Sorumlu Genel Bakan Yardmcs Sayn Krat ZORLU, merkezimizde genlerle bir araya geldi. Ziyarette, Kltr ve Turizm Bakan Yardmcs Sayn Batuhan MUMCU, Milletvekillerimiz Prof. Dr. Sayn Erol KELE, Sayn Ejder AIKKAPI, Sayn Mahmut Rdvan NAZIRLI ve Elaz l zel daresi Genel Sekreteri Sayn Cemil Yatkn da yer ald. Heyet, merkezimizde yrtlen projeler hakknda Genel Koordinatrmz Sayn Hakan Karabuluttan bilgi ald.",https://www.instagram.com/p/DP-_wakjDc9/
2025-10-18,"[Tarih: 2025-10-18] pek Yolu Uluslararas ocuk ve Genlik almalar Merkezi lim Yayma Vakf Mtevelli Heyeti Bakan Sayn Necmettin Bilal ERDOAN nclnde, Elaz Valimiz Sayn Numan HATPOLU ve AK Parti Trk Devletleri ile likilerden Sorumlu Genel Bakan Yardmcs Sayn Krat ZORLU, merkezimizde genlerle bir araya geldi. Ziyarette, Kltr ve Turizm Bakan Yardmcs Sayn Batuhan MUMCU, Milletvekillerimiz Prof. Dr. Sayn Erol KELE, Sayn Ejder AIKKAPI, Sayn Mahmut Rdvan NAZIRLI ve Elaz l zel daresi Genel Sekreteri Sayn Cemil Yatkn da yer ald. Heyet, merkezimizde yrtlen projeler hakknda Genel Koordinatrmz Sayn Hakan Karabuluttan bilgi ald. Genlerin geliimi ve geleceine katk salayan bu anlaml ziyaretleri iin tm misafirlerimize teekkr ederiz.",https://www.instagram.com/p/DP9taDfDWd8/
2025-10-08,"[Tarih: 2025-10-08] Game Day Balyor! Elence, rekabet ve heyecan dolu bir gn seni bekliyor! Neden Katlmalsn? Kyasya rekabetin heyecann yaa. Yeni insanlarla tan, elenceli bir toplulukla vakit geir. Gnlk stresini at, elencenin ve dostluun tadn kar. Hazrsan, Game Day seni aryor! Tarih: 12 Ekim 2025 Yer: pek Yolu Uluslararas ocuk ve Genlik almalar Merkezi / Elaz Son Bavuru: 10 Ekim 2025 - 12.00 Elence balasn, oyun seninleolsun! Bavuru ve tm detaylar bio'daki linkte!",https://www.instagram.com/p/DPirYc0DFCs/
2025-10-06,[Tarih: 2025-10-06] 100 mhendis ite byle elenir,https://www.instagram.com/p/DPdqZiojOa4/
